축제명,개최장소,축제시작일자,축제종료일자,축제내용,전화번호,홈페이지주소,소재지도로명주소,소재지지번주소,위도,경도,,,,,
JEMI페스타,제주영상·문화산업진흥원 일대,2023-10-21,2023-10-22,제주의 JEMI있는 콘텐츠를 발굴하는 연구소 ’제주콘텐츠코리아랩’의 콘텐츠 기업을 만날 수 있는 ’JEMI페스타’가 개최된다. 이번 JEMI페스타에는 32개 팀의 도내 콘텐츠기업과 예비창업자들이 참여해 다양한 미션존·체험존·전시존이 운영된다.,064-735-0617,jejuckl.kr/community/photo.htm?act=view&seq=580,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,,,,,
천령문화제,함양상림공원일원,2023-05-05,2023-05-09,고유제+축하공연+버스킹공연+학술대회+야간 빛축제+문화예술단체 전시,055-960-4510,,,경상남도 함양군 함양읍 교산리 1047-2,35.52372642,127.7218597,,,,,
흥부제,사랑의 광장 일원+아영면 성리 흥부묘+인월면,2023-10-07,2023-10-09,흥부마을터울림+다양한 공연 및 홍보 등,063-620-5772,,전라북도 남원시 양림길 12,전라북도 남원시 어현동 37-19,35.40248095,127.3861268,,,,,
지리산 뱀사골 단풍제,산내면 부운리 지리산국립공원,2023-10-21,2023-10-21,"단풍제(산신제)+체험행사(단풍길 걷기, 보물찾기 등)+지리산 풍경 사진전+공연단 공연",063-620-4705,,전라북도 남원시 산내면 와운길 10,전라북도 남원시 산내면 부운리 252,35.37179767,127.5791353,,,,,
백운계곡 뜬구름 축제,백운계곡 일대,2022-04-30,2022-05-22,장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등,,,경기도 포천시 이동면 포화로148,,38.07007473,127.4018616,,,,,
억새꽃 축제,산정호수+명성산 일대,2022-10-15,2022-11-20,작은버스킹+1년 후에 받는 편지 등,,,경기도 포천시 영북면 산정호수로411번길 89,,38.0688661,127.3221101,,,,,
포천 백운계곡 동장군 축제,백운계곡 일대,2022-12-24,2023-02-05,ICE BIG TREE 포토존+얼음조각작품 전시+튜브 눈썰매+송어얼음 낚시,,,경기도 포천시 이동면 화동로 2381,,38.0547745,127.383869,,,,,
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,02-2091-2316,http://science.dobong.go.kr,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,,,,,
제13회 남한강축제,법천소공원,2023-07-29,2023-07-30,문화예술공연+노래자랑 등,033-737-5630,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249,,,,,
치악산찰옥수수축제,문막체육공원,2023-07-01,2023-07-01,지역 옥수수 판매 및 농특산물 직거래장터 운영 등,033-737-1164,,,강원도 원주시 문막읍 문막리 329-45,37.3087155,127.8115249,,,,,
치악산복숭아축제,댄싱공연장 일원,2023-08-01,2023-08-01,지역 복숭아 판매+품평회+기타 등,033-737-4131,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,,,,,
2023 원주 댄싱카니발,댄싱공연장 일원,2023-09-22,2023-09-24,댄싱경연+문화예술공연+각종 체험 등,033-737-5123,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,,,,,
원주삼토페스티벌,종합운동장 일원,2023-09-14,2023-09-17,농촌문화체험+지역먹거리 판매 등,033-737-4155,,강원도 원주시 서원대로 311,강원도 원주시 명륜동 342,37.3368381,127.943687,,,,,
치악산한우축제,댄싱공연장 주차장,2023-10-01,2023-10-01,지역 한우 판매 등,033-737-4195,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,,,,,
원주 독서대전,시립중앙도서관,2023-10-01,2023-10-01,학술토론+전시체험 등,033-737-3817,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,,,,,
원주 평생학습 축제,원주문화원 일원,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,033-737-3808,www.wonju.go.kr,강원도 원주시 원일로 139,강원도 원주시 일산동 211,37.3515851,127.9467947,,,,,
제20회 예래생태체험축제,예래 논짓물 일원,2022-07-30,2022-07-31,생태마을탐방+맨손으로 넙치잡기+노래자랑 등,064-760-4845,https://seogwipo.go.kr/festivals/yerae/info/intro.htm,제주특별자치도 서귀포시 예래해안로 256,제주특별자치도 서귀포시 하예동 532-3,33.23654976,126.3887523,,,,,
제40회 서귀포유채꽃축제 (축제명칭 변경),가시리 유채꽃광장 일대,2023-03-31,2023-04-02,유채꽃밭 관람+공연+체험 등,064-760-3942,http://www.seogwipo.go.kr/festivals/uchae/index.htm,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.383096,126.736285,,,,,
제25회 서귀포유채꽃국제걷기대회,제주월드컵경기장 광장 및 서귀포시 일원,2023-03-25,2023-03-26,유채꽃 걷기 대회,064-760-3320,https://cafe.daum.net/seogwipo-walking,제주특별자치도 서귀포시 월드컵로 33,,33.246219,126.509275,,,,,
가파도청보리축제,대정읍 가파도 일원,2023-04-08,2023-04-16,청보리 밭+올레길 걷기+소망돌탑쌓기+버스킹(주말) 등,064-760-4085,https://www.seogwipo.go.kr/festivals/cheongbori/index.htm,제주특별자치도 서귀포시 대정읍 가파로67번길,,33.1688979,126.271532,,,,,
한라산청정고사리축제,서귀포시 남원읍 한남리 산 76-7 일원,2023-04-29,2023-04-30,고사리 꺾기+고사리 음식 만들기+고사리 풍습체험+고사리 사진 콘테스트 등,064-760-4181,http://www.jejugosari.net/index.php,제주특별자치도 서귀포시 남원읍 한남리 산 76-7 일원,,33.330055,126.6773352,,,,,
보목자리돔축제,서귀포시 보목마을 포구 일원,2023-05-26,2023-05-18,보목해안도로 걷기+자리돔 맨손잡기+카약 체험+자리돔 경연 등,064-733-3508,https://www.seogwipo.go.kr/festivals/damselfish/index.htm,제주특별자치도 서귀포시 보목포로 46,,33.23921289,126.6067626,,,,,
제28회 표선해변 하얀모래축제,표선해수욕장 일대,2023-07-29,2023-07-30,개막식+맨손 광어잡기+조개잡기+씨름대회+기요제 등,064-760-4415,https://seogwipo.go.kr/festivals/pyoseon/index.htm,,제주특별자치도 서귀포시 표선면 표선리 표선해수욕장,33.32429556,126.8266869,,,,,
제21회 예래생태체험축제,논짓물 및 예래동 일원,2023-09-29,2023-09-30,가요제+달빛걷기+소원등 만들기 등,064-760-4845,https://seogwipo.go.kr/festivals/yerae/index.htm,제주특별자치도 서귀포시 예래해안로 256,제주특별자치도 서귀포시 하예동 532-3,33.23654976,126.3887523,,,,,
제19회 쇠소깍축제,하효항 일대,2023-09-09,2023-09-10,개회식+축하공연+불꽃놀이+보물찾기+테우 및 카약 무료체험+현장참여 이벤트 등,064-760-4623,https://seogwipo.go.kr/festivals/blacksand/info/intro.htm,제주특별자치도 서귀포시 쇠소깍로 151-7,제주특별자치도 서귀포시 하효동 999-3,33.25016656,126.620922,,,,,
